date,trade_code,high,low,open,close,volume
09-08-20,T15Y1023,0,0,0,0,0
06-08-20,T15Y1023,0,0,0,0,0
05-08-20,T15Y1023,0,0,0,0,0
04-08-20,T15Y1023,0,0,0,0,0
03-08-20,T15Y1023,0,0,0,0,0
30-07-20,T15Y1023,0,0,0,0,0
29-07-20,T15Y1023,0,0,0,0,0
28-07-20,T15Y1023,0,0,0,0,0
27-07-20,T15Y1023,0,0,0,0,0
26-07-20,T15Y1023,0,0,0,0,0
23-07-20,T15Y1023,0,0,0,0,0
22-07-20,T15Y1023,0,0,0,0,0
21-07-20,T15Y1023,0,0,0,0,0
20-07-20,T15Y1023,0,0,0,0,0
19-07-20,T15Y1023,0,0,0,0,0
16-07-20,T15Y1023,0,0,0,0,0
15-07-20,T15Y1023,0,0,0,0,0
14-07-20,T15Y1023,0,0,0,0,0
13-07-20,T15Y1023,0,0,0,0,0
12-07-20,T15Y1023,0,0,0,0,0
09-07-20,T15Y1023,0,0,0,0,0
08-07-20,T15Y1023,0,0,0,0,0
07-07-20,T15Y1023,0,0,0,0,0
06-07-20,T15Y1023,0,0,0,0,0
05-07-20,T15Y1023,0,0,0,0,0
02-07-20,T15Y1023,0,0,0,0,0
10-08-20,T15Y1024,0,0,0,0,0
09-08-20,T15Y1024,0,0,0,0,0
06-08-20,T15Y1024,0,0,0,0,0
05-08-20,T15Y1024,0,0,0,0,0
04-08-20,T15Y1024,0,0,0,0,0
03-08-20,T15Y1024,0,0,0,0,0
30-07-20,T15Y1024,0,0,0,0,0
29-07-20,T15Y1024,0,0,0,0,0
28-07-20,T15Y1024,0,0,0,0,0
27-07-20,T15Y1024,0,0,0,0,0
26-07-20,T15Y1024,0,0,0,0,0
23-07-20,T15Y1024,0,0,0,0,0
22-07-20,T15Y1024,0,0,0,0,0
21-07-20,T15Y1024,0,0,0,0,0
20-07-20,T15Y1024,0,0,0,0,0
19-07-20,T15Y1024,0,0,0,0,0
16-07-20,T15Y1024,0,0,0,0,0
15-07-20,T15Y1024,0,0,0,0,0
14-07-20,T15Y1024,0,0,0,0,0
13-07-20,T15Y1024,0,0,0,0,0
12-07-20,T15Y1024,0,0,0,0,0
09-07-20,T15Y1024,0,0,0,0,0
08-07-20,T15Y1024,0,0,0,0,0
07-07-20,T15Y1024,0,0,0,0,0
06-07-20,T15Y1024,0,0,0,0,0
05-07-20,T15Y1024,0,0,0,0,0
02-07-20,T15Y1024,0,0,0,0,0
10-08-20,T15Y1025,0,0,0,0,0
09-08-20,T15Y1025,0,0,0,0,0
06-08-20,T15Y1025,0,0,0,0,0
05-08-20,T15Y1025,0,0,0,0,0
04-08-20,T15Y1025,0,0,0,0,0
03-08-20,T15Y1025,0,0,0,0,0
30-07-20,T15Y1025,0,0,0,0,0
29-07-20,T15Y1025,0,0,0,0,0
28-07-20,T15Y1025,0,0,0,0,0
27-07-20,T15Y1025,0,0,0,0,0
26-07-20,T15Y1025,0,0,0,0,0
23-07-20,T15Y1025,0,0,0,0,0
22-07-20,T15Y1025,0,0,0,0,0
21-07-20,T15Y1025,0,0,0,0,0
20-07-20,T15Y1025,0,0,0,0,0
19-07-20,T15Y1025,0,0,0,0,0
16-07-20,T15Y1025,0,0,0,0,0
15-07-20,T15Y1025,0,0,0,0,0
14-07-20,T15Y1025,0,0,0,0,0
13-07-20,T15Y1025,0,0,0,0,0
12-07-20,T15Y1025,0,0,0,0,0
09-07-20,T15Y1025,0,0,0,0,0
08-07-20,T15Y1025,0,0,0,0,0
07-07-20,T15Y1025,0,0,0,0,0
06-07-20,T15Y1025,0,0,0,0,0
05-07-20,T15Y1025,0,0,0,0,0
02-07-20,T15Y1025,0,0,0,0,0
10-08-20,T15Y1122,0,0,0,0,0
09-08-20,T15Y1122,0,0,0,0,0
